name,short_description,type,power,accuracy
Ally Switch,User and the ally on the other side of the field trade positions,Psychic,,
Shell Smash,Raises Attack Special Attack and Speed by two stages but lowers Defense and Special Defense by one,Normal,,
Shell Smash,Sharply boosts offensive stats and Speed while slightly dropping defensive stats,Normal,,
Shell Smash,Increases Attack Special Attack and Speed by two levels at the cost of one stage of Defense and Special Defense,Normal,,
Heal Pulse,Restores half of the target's max HP,Psychic,,
Heal Pulse,Heals an ally or opponent for 50 percent of their maximum health,Psychic,,
Heal Pulse,Recovers half the target's total HP,Psychic,,
Hex,Deals double damage if the target has any major status condition,Ghost,65,100
Hex,Twice as powerful when used against a target that is burned paralyzed poisoned frozen or asleep,Ghost,65,100
Hex,Power doubles if the opponent is already afflicted with a status ailment,Ghost,65,100
Sky Drop,Grabs the target and flies into the air dodging attacks then drops them the next turn,Flying,60,100
Sky Drop,Carries the opponent into the sky for a turn then slams them back down,Flying,60,100
Sky Drop,Lifts the target into the air making both pokemon untouchable then drops them next turn,Flying,60,100
Shift Gear,Raises the user's Attack by one stage and Speed by two stages,Steel,,
Shift Gear,Boosts Attack by one level and sharply increases Speed by two levels,Steel,,
Shift Gear,Increases Attack by one stage and Speed by two stages simultaneously,Steel,,
Circle Throw,Ends wild battles and forces trainers to switch out their pokemon,Fighting,60,90
Circle Throw,Scares off wild pokemon and makes opposing trainers swap out,Fighting,60,90
Circle Throw,Immediately ends wild encounters and forces a switch in trainer battles,Fighting,60,90
Incinerate,Burns up and destroys the target's held berry,Fire,60,100
Incinerate,Deals damage and removes the opponent's berry,Fire,60,100
Incinerate,Hits the target and gets rid of whatever berry they are holding,Fire,60,100
Quash,Forces the target to move last this turn,Dark,,100
Quash,Makes the opponent act at the very end of the turn,Dark,,100
Quash,Causes the target to take their turn after everyone else,Dark,,100
Acrobatics,Deals double damage when the user is not holding any item,Flying,55,100
Acrobatics,Gets twice as powerful if the user has no held item,Flying,55,100
Acrobatics,Power doubles if the user is not carrying anything,Flying,55,100
Reflect Type,The user's type changes to match the target's type,Normal,,
Reflect Type,User takes on whatever type the opponent currently is,Normal,,
Reflect Type,Copies the target's type and applies it to the user,Normal,,
Retaliate,Deals double damage if a teammate fainted on the previous turn,Normal,70,100
Retaliate,Gets twice as strong if an ally was knocked out last turn,Normal,70,100
Retaliate,Power doubles when a friendly pokemon fainted during the previous turn,Normal,70,100
Final Gambit,Deals damage equal to the user's remaining HP then the user faints,Fighting,,100
Final Gambit,User sacrifices all their remaining health to deal that much damage to the target,Fighting,,100
Final Gambit,Inflicts damage matching the user's current HP then the user knocks itself out,Fighting,,100
Bestow,Transfers the user's held item to the target,Normal,,
Bestow,Gives whatever item the user is holding to the opponent,Normal,,
Bestow,Passes the user's held item over to the target,Normal,,
Water Pledge,When combined with Grass Pledge slows down opposing pokemon by half for four turns,Water,80,100
Water Pledge,Pairs with Grass Pledge to halve the enemy team's Speed for four turns,Water,80,100
Water Pledge,Used together with Grass Pledge creates a swamp that cuts opposing Speed for four turns,Water,80,100
Fire Pledge,When combined with Water Pledge doubles the effect chance of friendly moves for four turns,Fire,80,100
Fire Pledge,Pairs with Water Pledge to double the secondary effect rates of ally moves for four turns,Fire,80,100
Fire Pledge,Used together with Water Pledge creates a rainbow boosting ally effect chances for four turns,Fire,80,100
Grass Pledge,When combined with Fire Pledge damages opposing pokemon for an eighth of their max HP each turn for four turns,Grass,80,100
Grass Pledge,Pairs with Fire Pledge to create a bog that chips away at enemy HP for four turns,Grass,80,100
Grass Pledge,Used together with Fire Pledge deals recurring damage to opposing pokemon for four turns,Grass,80,100
Work Up,Raises the user's Attack and Special Attack by one stage each,Normal,,
Work Up,Boosts both Attack and Special Attack by one level,Normal,,
Work Up,Increases the user's Attack and Special Attack simultaneously by one stage,Normal,,
Cotton Guard,Raises the user's Defense by three stages,Grass,,
Cotton Guard,Massively boosts the user's Defense by three levels,Grass,,
Cotton Guard,Increases the user's Defense stat by three stages at once,Grass,,
Relic Song,Has a chance to put the target to sleep,Normal,75,100
Relic Song,Might send the opponent to sleep,Normal,75,100
Relic Song,Can inflict sleep on whoever it hits,Normal,75,100
Freeze Shock,Charges for one turn then attacks with a chance to paralyze the target,Ice,140,90
Freeze Shock,Takes a turn to power up then strikes and might leave the target paralyzed,Ice,140,90
Freeze Shock,Spends a turn charging then hits with a possibility of causing paralysis,Ice,140,90
Ice Burn,Charges for one turn then attacks with a chance to burn the target,Ice,140,90
Ice Burn,Takes a turn to power up then strikes and might leave the target burned,Ice,140,90
Ice Burn,Spends a turn charging then hits with a possibility of inflicting a burn,Ice,140,90
V Create,Extremely powerful but lowers the user's Defense Special Defense and Speed by one stage each,Fire,180,95
V Create,Massive damage but costs the user one stage of Defense Special Defense and Speed,Fire,180,95
V Create,Hits incredibly hard while dropping the user's Defense Special Defense and Speed afterward,Fire,180,95
Fusion Flare,Deals double damage when used in combination with Fusion Bolt,Fire,100,100
Fusion Flare,Power doubles if Fusion Bolt is also used in the same turn,Fire,100,100
Fusion Flare,Gets twice as strong when paired with Fusion Bolt,Fire,100,100
Fusion Bolt,Deals double damage when used in combination with Fusion Flare,Electric,100,100
Fusion Bolt,Power doubles if Fusion Flare is also used in the same turn,Electric,100,100
Fusion Bolt,Gets twice as strong when paired with Fusion Flare,Electric,100,100
Flying Press,Deals both fighting and flying type damage at the same time,Fighting,100,95
Flying Press,Counts as both a fighting and flying type move when calculating damage,Fighting,100,95
Flying Press,Hits for both fighting and flying type effectiveness simultaneously,Fighting,100,95
Mat Block,Protects all friendly pokemon from damaging moves but only works on the first turn after switching in,Fighting,,
Mat Block,Blocks all incoming damage for allies but can only be used the very first turn the user is out,Fighting,,
Mat Block,Shields the whole team from attacks only usable on the user's first turn in battle,Fighting,,
Belch,Can only be used after the user has consumed a berry,Poison,120,90
Belch,Only becomes available once the user has eaten a berry,Poison,120,90
Belch,Requires the user to have eaten a berry before it can be used,Poison,120,90
Rototiller,Boosts the Attack and Special Attack of all grass type pokemon currently in battle,Ground,,
Rototiller,Raises both offensive stats of every grass type pokemon on the field,Ground,,
Rototiller,Increases Attack and Special Attack for all grass types participating in the battle,Ground,,
Sticky Web,Covers the opponent's side with a web that slows down any pokemon that switches in,Bug,,
Sticky Web,Sets up a sticky web that lowers the Speed of any opposing pokemon entering the field,Bug,,
Sticky Web,Lays a web on the enemy side that drops the Speed of incoming pokemon by one stage,Bug,,
Fell Stinger,Raises the user's Attack by two stages if it knocks out the target,Bug,50,100
Fell Stinger,Sharply boosts the user's Attack if this move causes the opponent to faint,Bug,50,100
Fell Stinger,If this move KOs the target the user gains two stages of Attack,Bug,50,100
Trick Or Treat,Adds ghost as an additional type to the target,Ghost,,100
Trick Or Treat,Makes the target gain ghost typing on top of whatever type they already are,Ghost,,100
Trick Or Treat,Forces the ghost type onto the target giving them an extra type,Ghost,,100
Noble Roar,Lowers the target's Attack and Special Attack by one stage each,Normal,,100
Noble Roar,Drops both the opponent's Attack and Special Attack by one level,Normal,,100
Noble Roar,Reduces the target's Attack and Special Attack simultaneously by one stage,Normal,,100
Ion Deluge,Converts all normal type moves to electric type for the rest of the turn,Electric,,
Ion Deluge,Changes every normal type move being used this turn into electric type,Electric,,
Ion Deluge,Turns all normal moves into electric moves for the remainder of the current turn,Electric,,
Parabolic Charge,Heals the user for half of the total damage dealt to all targets,Electric,65,100
Parabolic Charge,Restores the user's HP equal to half the damage inflicted on every target hit,Electric,65,100
Parabolic Charge,Drains energy from all targets and heals the user for half the damage done,Electric,65,100
Forests Curse,Adds grass as an additional type to the target,Grass,,100
Forests Curse,Makes the target gain grass typing on top of their existing types,Grass,,100
Forests Curse,Forces the grass type onto the target giving them an extra type,Grass,,100
Petal Blizzard,Deals standard damage with no additional effects,Grass,90,100
Petal Blizzard,A straightforward attack that just does damage,Grass,90,100
Petal Blizzard,Hits for regular damage without any extra effects,Grass,90,100
Freeze Dry,Super effective against water type pokemon unlike most ice moves,Ice,70,100
Freeze Dry,Unusually hits water types for super effective damage,Ice,70,100
Freeze Dry,Deals super effective damage to water types which is unique for an ice move,Ice,70,100
Parting Shot,Lowers the target's Attack and Special Attack by one stage then the user switches out,Dark,,100
Parting Shot,Drops the opponent's Attack and Special Attack before the user retreats,Dark,,100
Parting Shot,Reduces the target's offensive stats by one stage each then the user swaps out,Dark,,100
Topsy Turvy,Reverses all of the target's stat changes turning boosts into drops and vice versa,Dark,,
Topsy Turvy,Flips every stat modifier the opponent has so raises become drops and drops become raises,Dark,,
Topsy Turvy,Inverts all of the target's current stat modifications,Dark,,
Draining Kiss,Deals damage and heals the user for 75 percent of the damage inflicted,Fairy,50,100
Draining Kiss,Restores the user's HP equal to three quarters of the damage dealt,Fairy,50,100
Draining Kiss,Drains the target's energy healing the user for 75 percent of what was inflicted,Fairy,50,100
Crafty Shield,Protects all friendly pokemon from status and non damaging moves for one turn,Fairy,,
Crafty Shield,Blocks all non damaging moves from affecting the user's team this turn,Fairy,,
Crafty Shield,Shields all allies from effect moves that don't deal damage for one turn,Fairy,,
Flower Shield,Raises the Defense of every grass type pokemon currently on the field,Fairy,,
Flower Shield,Boosts the Defense stat of all grass types in battle,Fairy,,
Flower Shield,Increases Defense for every grass type pokemon participating in the battle,Fairy,,
Grassy Terrain,Creates grassy terrain for five turns healing grounded pokemon each turn and boosting grass moves,Grass,,
Grassy Terrain,Sets up a grassy field for five turns that restores a bit of HP to grounded pokemon and strengthens grass type attacks,Grass,,
Grassy Terrain,For five turns heals all grounded pokemon slightly each turn and powers up grass moves by 1.5 times,Grass,,
Misty Terrain,Creates misty terrain for five turns blocking status conditions and confusion for grounded pokemon and weakening dragon moves,Fairy,,
Misty Terrain,Sets up mist for five turns that protects grounded pokemon from status and halves dragon move damage,Fairy,,
Misty Terrain,For five turns prevents status ailments and confusion on the ground and reduces incoming dragon type damage by half,Fairy,,
Electrify,Changes the target's move to electric type before they use it this turn,Electric,,
Electrify,Converts whatever move the opponent is about to use into an electric type move,Electric,,
Electrify,Turns the target's move into an electric type attack if they haven't acted yet,Electric,,
Fairy Lock,Prevents every pokemon on the field from fleeing or switching out next turn,Fairy,,
Fairy Lock,Locks all pokemon in place stopping anyone from escaping or swapping out the following turn,Fairy,,
Fairy Lock,Nobody can flee or switch out on the next turn after this is used,Fairy,,
Kings Shield,Blocks damaging moves and sharply lowers the Attack of any pokemon that makes contact,Steel,,
Kings Shield,Acts as a protection move that also drops the attacker's Attack by two stages on contact,Steel,,
Kings Shield,Defends against attacks and punishes physical contact by lowering the attacker's Attack sharply,Steel,,
Confide,Lowers the target's Special Attack by one stage,Normal,,
Confide,Drops the opponent's Special Attack stat by one level,Normal,,
Confide,Reduces the target's Special Attack by one stage,Normal,,
Diamond Storm,Has a chance to raise the user's Defense by two stages for each target hit,Rock,100,95
Diamond Storm,Might sharply boost the user's Defense for every target it connects with,Rock,100,95
Diamond Storm,Can increase the user's Defense by two stages per target hit,Rock,100,95
Hyperspace Hole,Bypasses and removes any protection effects the target is using,Psychic,80,
Hyperspace Hole,Ignores Protect and similar moves while also destroying them,Psychic,80,
Hyperspace Hole,Hits through and eliminates any protective effects on the target,Psychic,80,
Water Shuriken,Hits multiple times between 2 and 5 strikes per use,Water,15,100
Water Shuriken,Strikes 2 to 5 times in a single turn,Water,15,100
Water Shuriken,Attacks repeatedly landing anywhere from 2 to 5 hits,Water,15,100
Spiky Shield,Blocks incoming attacks and damages any pokemon that makes contact for an eighth of their max HP,Grass,,
Spiky Shield,Acts as protection but also chips away at attackers who make contact,Grass,,
Spiky Shield,Defends against moves and punishes contact by dealing damage equal to a eighth of the attacker's max HP,Grass,,
Aromatic Mist,Raises a chosen ally's Special Defense by one stage,Fairy,,
Aromatic Mist,Boosts the Special Defense of a selected friendly pokemon by one level,Fairy,,
Aromatic Mist,Increases a targeted ally's Special Defense stat by one stage,Fairy,,
Eerie Impulse,Lowers the target's Special Attack by two stages,Electric,,100
Eerie Impulse,Sharply drops the opponent's Special Attack stat,Electric,,100
Eerie Impulse,Reduces the target's Special Attack by two levels,Electric,,100
Venom Drench,Lowers a poisoned target's Attack Special Attack and Speed by one stage each,Poison,,100
Venom Drench,Drops the Attack Special Attack and Speed of a poisoned opponent by one level each,Poison,,100
Venom Drench,Reduces Attack Special Attack and Speed by one stage on any target that is already poisoned,Poison,,100
Powder,If the target uses a fire move this turn it explodes dealing a quarter of their max HP in damage and canceling the move,Bug,,100
Powder,Causes an explosion if the opponent uses a fire type move this turn dealing 25 percent of their max HP and stopping the attack,Bug,,100
Powder,Detonates when the target tries to use a fire move this turn dealing damage equal to a quarter of their HP and blocking it,Bug,,100
Geomancy,Charges for one turn then raises the user's Special Attack Special Defense and Speed by two stages each,Fairy,,
Geomancy,Takes a turn to charge up then sharply boosts Special Attack Special Defense and Speed,Fairy,,
Geomancy,Spends a turn powering up then increases Special Attack Special Defense and Speed by two stages,Fairy,,
Magnetic Flux,Raises the Defense and Special Defense of all friendly pokemon with plus or minus abilities by one stage,Electric,,
Magnetic Flux,Boosts the Defense and Special Defense of allies that have the plus or minus ability,Electric,,
Magnetic Flux,Increases Defense and Special Defense by one stage for every friendly pokemon with plus or minus,Electric,,
Happy Hour,Doubles the prize money earned after battle,Normal,,
Happy Hour,Multiplies the money gained from winning a battle by two,Normal,,
Happy Hour,Makes the team earn twice as much prize money,Normal,,
Electric Terrain,Creates electric terrain for five turns preventing sleep for grounded pokemon and boosting electric moves,Electric,,
Electric Terrain,Sets up electrified ground for five turns that stops grounded pokemon from sleeping and strengthens electric attacks,Electric,,
Electric Terrain,For five turns prevents sleep on the ground and powers up electric type moves by 1.5 times,Electric,,
Power Up Punch,Deals damage and raises the user's Attack by one stage,Fighting,40,100
Power Up Punch,Hits the target and boosts the user's Attack stat afterward,Fighting,40,100
Power Up Punch,Inflicts damage while increasing the user's Attack by one level,Fighting,40,100
Thousand Arrows,Hits flying types and levitating pokemon and grounds them,Ground,90,100
Thousand Arrows,Can strike airborne and levitating pokemon and brings them down to the ground,Ground,90,100
Thousand Arrows,Reaches flying and levitating targets and removes their immunity to ground moves,Ground,90,100
Shore Up,Restores half the user's max HP or two thirds during a sandstorm,Ground,,
Shore Up,Heals 50 percent of max HP normally or about 67 percent in sandstorm conditions,Ground,,
Shore Up,Recovers half the user's health with an increased amount during a sandstorm,Ground,,
First Impression,Can only be used on the very first turn after the user enters battle,Bug,90,100
First Impression,Only works immediately after switching in and cannot be used afterward,Bug,90,100
First Impression,Must be the first move used after the user comes out or it fails,Bug,90,100
Baneful Bunker,Protects the user for the turn and poisons any pokemon that makes contact,Poison,,
Baneful Bunker,Blocks all moves this turn and poisons attackers who make physical contact,Poison,,
Baneful Bunker,Shields the user from damage and inflicts poison on any pokemon that touches it,Poison,,
Spirit Shackle,Deals damage and prevents the target from switching out or fleeing,Ghost,80,100
Spirit Shackle,Traps the opponent in battle while dealing damage,Ghost,80,100
Spirit Shackle,Hits the target and locks them into the battle,Ghost,80,100
Sparkling Aria,Deals damage and cures any burn the target has,Water,90,100
Sparkling Aria,Hits the target and removes their burn status,Water,90,100
Sparkling Aria,Inflicts damage and heals the target of burns,Water,90,100
Floral Healing,Restores half the target's max HP or two thirds on grassy terrain,Fairy,,
Floral Healing,Heals a target for 50 percent of their max HP with more restored on grassy terrain,Fairy,,
Floral Healing,Recovers half the target's health or more if grassy terrain is active,Fairy,,
Strength Sap,Heals the user equal to the target's Attack stat and lowers the target's Attack by one stage,Grass,,100
Strength Sap,Drains the opponent's Attack power to heal the user and drops their Attack by one level,Grass,,100
Strength Sap,Restores the user's HP based on the target's Attack while lowering that stat by one stage,Grass,,100
Spotlight,Forces all of the target's opponents to direct their attacks at the target this turn,Normal,,
Spotlight,Makes the target the center of attention causing all enemy moves to aim at them,Normal,,
Spotlight,Redirects all opposing attacks toward the target for the rest of the turn,Normal,,
Toxic Thread,Poisons the target and lowers their Speed by one stage,Poison,,100
Toxic Thread,Inflicts poison and drops the opponent's Speed by one level,Poison,,100
Toxic Thread,Leaves the target poisoned and slows them down by one stage,Poison,,100
Laser Focus,Guarantees the user's next move will be a critical hit,Normal,,
Laser Focus,Makes the following attack land as a guaranteed crit,Normal,,
Laser Focus,Ensures the user's next move scores a critical hit no matter what,Normal,,
Gear Up,Raises the Attack and Special Attack of all friendly pokemon with plus or minus abilities,Steel,,
Gear Up,Boosts the Attack and Special Attack of allies that have the plus or minus ability,Steel,,
Gear Up,Increases Attack and Special Attack for every friendly pokemon with plus or minus,Steel,,
Throat Chop,Deals damage and prevents the target from using sound based moves for two turns,Dark,80,100
Throat Chop,Hits the opponent and stops them from using any sound moves for two turns,Dark,80,100
Throat Chop,Inflicts damage and blocks the target from using sound based attacks for two turns,Dark,80,100
Pollen Puff,Damages opponents but heals allies for half their max HP instead,Bug,90,100
Pollen Puff,Hurts enemies but restores 50 percent of an ally's HP when targeting a teammate,Bug,90,100
Pollen Puff,Acts as an attack against opponents but heals friendly pokemon for half their health,Bug,90,100
Psychic Terrain,Creates psychic terrain for five turns blocking priority moves on the ground and boosting psychic attacks,Psychic,,
Psychic Terrain,Sets up psychic terrain that prevents priority moves from hitting grounded pokemon and strengthens psychic moves,Psychic,,
Psychic Terrain,For five turns stops priority moves from targeting grounded pokemon and powers up psychic type attacks by 50 percent,Psychic,,
Lunge,Deals damage and lowers the target's Attack by one stage,Bug,80,100
Lunge,Hits the opponent and drops their Attack stat afterward,Bug,80,100
Lunge,Inflicts damage while reducing the target's Attack by one level,Bug,80,100
Fire Lash,Deals damage and lowers the target's Defense by one stage,Fire,80,100
Fire Lash,Hits the opponent and drops their Defense stat afterward,Fire,80,100
Fire Lash,Inflicts damage while reducing the target's Defense by one level,Fire,80,100
Burn Up,Deals fire damage but removes the user's fire type afterward,Fire,130,100
Burn Up,Hits hard but the user loses their fire typing after using it,Fire,130,100
Burn Up,Inflicts damage and strips away the user's fire type,Fire,130,100
Speed Swap,Exchanges the user's Speed stat with the target's,Psychic,,
Speed Swap,Trades the user's Speed with the opponent's Speed,Psychic,,
Speed Swap,Swaps the Speed stats of the user and the target,Psychic,,
Purify,Cures the target's status condition and heals the user for half their max HP,Poison,,
Purify,Removes the opponent's status ailment and restores 50 percent of the user's health,Poison,,
Purify,Heals the target of any status condition and recovers half the user's HP,Poison,,
Revelation Dance,Always matches the user's current primary type,Normal,90,100
Revelation Dance,Changes type to match whatever type the user is,Normal,90,100
Revelation Dance,Takes on the same type as the user when it is used,Normal,90,100
Core Enforcer,Nullifies the target's ability if they moved before the user this turn,Dragon,100,100
Core Enforcer,Disables the opponent's ability if they already took their turn,Dragon,100,100
Core Enforcer,Suppresses the target's ability when they acted earlier in the same turn,Dragon,100,100
Instruct,Forces the target to immediately use their last used move again,Psychic,,
Instruct,Makes the opponent repeat whatever move they just used,Psychic,,
Instruct,Commands the target to use their most recent move one more time,Psychic,,
Beak Blast,Burns any pokemon that makes contact with the user before the attack lands,Flying,100,100
Beak Blast,Charges up and burns attackers that make contact before it goes off,Flying,100,100
Beak Blast,Inflicts a burn on any pokemon that touches the user while it is charging,Flying,100,100
Clanging Scales,Deals damage but lowers the user's Defense by one stage,Dragon,110,100
Clanging Scales,Hits hard but drops the user's Defense stat afterward,Dragon,110,100
Clanging Scales,Inflicts damage at the cost of one stage of the user's Defense,Dragon,110,100
Aurora Veil,Reduces damage from all attacks for five turns but can only be used during hail,Ice,,
Aurora Veil,Halves damage from physical and special moves for five turns only usable in hail,Ice,,
Aurora Veil,Cuts incoming damage for five turns but requires hail weather to use,Ice,,
Guardian Of Alola,Deals damage equal to 75 percent of the target's remaining HP,Fairy,,
Guardian Of Alola,Reduces the opponent's current HP by three quarters,Fairy,,
Guardian Of Alola,Hits for damage equal to 75 percent of whatever HP the target has left,Fairy,,
Extreme Evoboost,Raises every one of the user's stats by two stages at once,Normal,,
Extreme Evoboost,Sharply boosts all of the user's stats simultaneously by two levels,Normal,,
Extreme Evoboost,Increases every stat the user has by two stages,Normal,,
Genesis Supernova,Deals damage and then sets up psychic terrain on the battlefield,Psychic,185,
Genesis Supernova,Inflicts damage and changes the terrain to psychic terrain afterward,Psychic,185,
Genesis Supernova,Hits the target and creates psychic terrain as a follow up effect,Psychic,185,
Shell Trap,Sets a trap that only fires if the user is hit by a physical move first this turn,Fire,150,100
Shell Trap,Only deals damage if the user takes a physical hit before it goes off,Fire,150,100
Shell Trap,Triggers and attacks only when the user receives a physical attack this turn,Fire,150,100
Stomping Tantrum,Deals double damage if the user's previous move failed,Ground,75,100
Stomping Tantrum,Power doubles when the user's last move did not work,Ground,75,100
Stomping Tantrum,Gets twice as strong if the user's previous move missed or failed,Ground,75,100
Spectral Thief,Steals all of the target's stat boosts then deals damage,Ghost,90,100
Spectral Thief,Copies and removes the opponent's stat increases before hitting them,Ghost,90,100
Spectral Thief,Takes away the target's stat raises and then inflicts damage,Ghost,90,100
Sunsteel Strike,Deals damage and ignores the target's ability completely,Steel,100,100
Sunsteel Strike,Hits without being affected or stopped by any ability,Steel,100,100
Sunsteel Strike,Bypasses the target's ability when dealing damage,Steel,100,100
Mind Blown,Deals massive damage but the user loses half their max HP,Fire,150,100
Mind Blown,Hits incredibly hard but costs the user 50 percent of their maximum health,Fire,150,100
Mind Blown,Inflicts huge damage at the expense of half the user's max HP,Fire,150,100
Light That Burns The Sky,Uses whichever of the user's Attack or Special Attack is higher to calculate damage,Psychic,200,
Light That Burns The Sky,Deals damage based on the user's stronger offensive stat whether physical or special,Psychic,200,
Light That Burns The Sky,Calculates damage using whichever attack stat is higher for the user,Psychic,200,
Lets Snuggle Forever,Deals damage then converts all normal type moves to electric type for the rest of the turn,Fairy,190,
Lets Snuggle Forever,Inflicts damage and changes all normal moves to electric type afterward,Fairy,190,
Lets Snuggle Forever,Hits the target and makes every normal type move become electric type for the remainder of the turn,Fairy,190,
Splintered Stormshards,Deals damage and removes any active terrain from the battlefield,Rock,190,
Splintered Stormshards,Inflicts damage and clears whatever terrain is currently in effect,Rock,190,
Splintered Stormshards,Hits the target and destroys any terrain that is currently on the field,Rock,190,
Clangorous Soulblaze,Hits all opposing pokemon and raises every one of the user's stats by one stage each,Dragon,185,
Clangorous Soulblaze,Deals damage to every opponent and boosts Attack Defense Special Attack Special Defense and Speed simultaneously,Dragon,185,
Clangorous Soulblaze,Attacks all enemies and increases all five of the user's stats by one level,Dragon,185,
Dynamax Cannon,Deals damage and sets up Light Screen on the user's side afterward,Dragon,100,100
Dynamax Cannon,Inflicts damage then creates a Light Screen for the user's team,Dragon,100,100
Dynamax Cannon,Hits the target and then sets Light Screen on the user's side of the field,Dragon,100,100
Snipe Shot,Deals damage and sets up Reflect on the user's side afterward,Water,80,100
Snipe Shot,Inflicts damage then creates a Reflect barrier for the user's team,Water,80,100
Snipe Shot,Hits the target and then sets Reflect on the user's side of the field,Water,80,100
Jaw Lock,Deals damage and plants a Leech Seed on the target afterward,Dark,80,100
Jaw Lock,Inflicts damage then seeds the opponent to drain their HP each turn,Dark,80,100
Jaw Lock,Hits the target and follows up by seeding them,Dark,80,100
Stuff Cheeks,Cures the entire party of status conditions,Normal,,
Stuff Cheeks,Removes all major status effects from every pokemon on the user's team,Normal,,
Stuff Cheeks,Heals the whole party of any status ailments,Normal,,
No Retreat,Strikes twice in one turn with a chance to make the target flinch,Fighting,,
No Retreat,Hits two times and might cause the opponent to flinch,Fighting,,
No Retreat,Attacks twice and has a possibility of making the target flinch,Fighting,,
Scale Shot,Hits two to five times then boosts the user's Speed and lowers their Defense by one stage,Dragon,25,90
Scale Shot,Strikes multiple times between two and five hits then raises Speed and drops Defense,Dragon,25,90
Scale Shot,Attacks two to five times in a row then increases the user's Speed and reduces their Defense,Dragon,25,90
